Acton Town;Ealing Common;Piccadilly Line;2
Acton Town;South Ealing;Piccadilly Line;4
Acton Town;Turnham Green;Piccadilly Line;3
Aldgate;Liverpool Street;Circle Line;2
Aldgate;Liverpool Street;Metropolitan Line;2
Aldgate;Tower Hill;Circle Line;4
Aldgate East;Liverpool Street;Hammersmith & City Line;4
Aldgate East;Tower Hill;District Line;2
Aldgate East;Whitechapel;District Line;2
Aldgate East;Whitechapel;Hammersmith & City Line;2
All Saints;Devons Road;Docklands Light Railway;2
All Saints;Poplar;Docklands Light Railway;2
Alperton;Park Royal;Piccadilly Line;3
Alperton;Sudbury Town;Piccadilly Line;2
Amersham;Chalfont & Latimer;Metropolitan Line;4
Angel;King's Cross St. Pancras;Northern Line;2
Angel;Old Street;Northern Line;3
Archway;Highgate;Northern Line;3
Archway;Tufnell Park;Northern Line;2
Arnos Grove;Bounds Green;Piccadilly Line;3
Arnos Grove;Southgate;Piccadilly Line;3
Arsenal;Finsbury Park;Piccadilly Line;2
Arsenal;Holloway Road;Piccadilly Line;1
Baker Street;Bond Street;Jubilee Line;2
Baker Street;Edgware Road (C);Circle Line;3
Baker Street;Edgware Road (C);Hammersmith & City Line;3
Baker Street;Finchley Road;Metropolitan Line;6
Baker Street;Great Portland Street;Circle Line;3
Baker Street;Great Portland Street;Hammersmith & City Line;3
Baker Street;Great Portland Street;Metropolitan Line;3
Baker Street;Marylebone;Bakerloo Line;1
Baker Street;Regent's Park;Bakerloo Line;2
Baker Street;St. John's Wood;Jubilee Line;4
Balham;Clapham South;Northern Line;2
Balham;Tooting Bec;Northern Line;1
Bank;Liverpool Street;Central Line;2
Bank;London Bridge;Northern Line;2
Bank;Moorgate;Northern Line;3
Bank;Shadwell;Docklands Light Railway;2
Bank;St. Paul's;Central Line;2
Bank;Waterloo;Waterloo & City Line;4
Barbican;Farringdon;Circle Line;1
Barbican;Farringdon;Hammersmith & City Line;1
Barbican;Farringdon;Metropolitan Line;1
Barbican;Moorgate;Circle Line;2
Barbican;Moorgate;Hammersmith & City Line;2
Barbican;Moorgate;Metropolitan Line;2
Barking;East Ham;District Line;4
Barking;East Ham;Hammersmith & City Line;4
Barking;Upney;District Line;2
Barkingside;Fairlop;Central Line;2
Barkingside;Newbury Park;Central Line;2
Barons Court;Earl's Court;Piccadilly Line;3
Barons Court;Hammersmith;District Line;1
Barons Court;Hammersmith;Piccadilly Line;2
Barons Court;West Kensington;District Line;2
Bayswater;Notting Hill Gate;Circle Line;2
Bayswater;Notting Hill Gate;District Line;2
Bayswater;Paddington;Circle Line;2
Bayswater;Paddington;District Line;2
Beckton;Gallions Reach;Docklands Light Railway;2
Beckton Park;Cyprus;Docklands Light Railway;2
Beckton Park;Royal Albert;Docklands Light Railway;2
Becontree;Dagenham Heathway;District Line;3
Becontree;Upney;District Line;2
Belsize Park;Chalk Farm;Northern Line;2
Belsize Park;Hampstead;Northern Line;2
Bermondsey;Canada Water;Jubilee Line;2
Bermondsey;London Bridge;Jubilee Line;3
Bethnal Green;Liverpool Street;Central Line;3
Bethnal Green;Mile End;Central Line;2
Blackfriars;Mansion House;Circle Line;1
Blackfriars;Mansion House;District Line;1
Blackfriars;Temple;Circle Line;2
Blackfriars;Temple;District Line;2
Blackhorse Road;Tottenham Hale;Victoria Line;2
Blackhorse Road;Walthamstow Central;Victoria Line;2
Blackwall;East India;Docklands Light Railway;2
Blackwall;Poplar;Docklands Light Railway;2
Bond Street;Green Park;Jubilee Line;2
Bond Street;Marble Arch;Central Line;1
Bond Street;Oxford Circus;Central Line;1
Borough;Elephant & Castle;Northern Line;1
Borough;London Bridge;Northern Line;2
Boston Manor;Northfields;Piccadilly Line;2
Boston Manor;Osterley;Piccadilly Line;3
Bounds Green;Wood Green;Piccadilly Line;2
Bow Church;Devons Road;Docklands Light Railway;2
Bow Church;Pudding Mill Lane;Docklands Light Railway;2
Bow Road;Bromley-By-Bow;District Line;2
Bow Road;Bromley-By-Bow;Hammersmith & City Line;2
Bow Road;Mile End;District Line;1
Bow Road;Mile End;Hammersmith & City Line;1
Brent Cross;Golders Green;Northern Line;3
Brent Cross;Hendon Central;Northern Line;2
Brixton;Stockwell;Victoria Line;2
Bromley-By-Bow;West Ham;District Line;2
Bromley-By-Bow;West Ham;Hammersmith & City Line;2
Buckhurst Hill;Loughton;Central Line;3
Buckhurst Hill;Woodford;Central Line;3
Burnt Oak;Colindale;Northern Line;2
Burnt Oak;Edgware;Northern Line;3
Caledonian Road;Holloway Road;Piccadilly Line;2
Caledonian Road;King's Cross St. Pancras;Piccadilly Line;5
Camden Town;Chalk Farm;Northern Line;2
Camden Town;Euston;Northern Line;3
Camden Town;Kentish Town;Northern Line;2
Camden Town;Mornington Crescent;Northern Line;1
Canada Water;Canary Wharf;Jubilee Line;3
Canada Water;Rotherhithe;East London Line;1
Canada Water;Surrey Quays;East London Line;2
Canary Wharf;Heron Quays;Docklands Light Railway;2
Canary Wharf;North Greenwich;Jubilee Line;3
Canary Wharf;West India Quay;Docklands Light Railway;2
Canning Town;East India;Docklands Light Railway;2
Canning Town;North Greenwich;Jubilee Line;3
Canning Town;Royal Victoria;Docklands Light Railway;2
Canning Town;West Ham;Jubilee Line;3
Cannon Street;Mansion House;Circle Line;1
Cannon Street;Mansion House;District Line;1
Cannon Street;Monument;Circle Line;2
Cannon Street;Monument;District Line;2
Canons Park;Queensbury;Jubilee Line;2
Canons Park;Stanmore;Jubilee Line;2
Chalfont & Latimer;Chesham;Metropolitan Line;8
Chalfont & Latimer;Chorleywood;Metropolitan Line;4
Chancery Lane;Holborn;Central Line;1
Chancery Lane;St. Paul's;Central Line;2
Charing Cross;Embankment;Bakerloo Line;1
Charing Cross;Embankment;Northern Line;1
Charing Cross;Leicester Square;Northern Line;2
Charing Cross;Picadilly Circus;Bakerloo Line;2
Chigwell;Grange Hill;Central Line;2
Chigwell;Roding Valley;Central Line;2
Chiswick Park;Acton Town;District Line;2
Chiswick Park;Turnham Green;District Line;2
Chorleywood;Rickmansworth;Metropolitan Line;4
Clapham Common;Clapham North;Northern Line;2
Clapham Common;Clapham South;Northern Line;2
Clapham North;Stockwell;Northern Line;1
Cockfosters;Oakwood;Piccadilly Line;4
Colindale;Hendon Central;Northern Line;3
Colliers Wood;South Wimbledon;Northern Line;2
Colliers Wood;Tooting Broadway;Northern Line;2
Covent Garden;Holborn;Piccadilly Line;1
Covent Garden;Leicester Square;Piccadilly Line;1
Crossharbour & London Arena;Mudchute;Docklands Light Railway;2
Crossharbour & London Arena;South Quay;Docklands Light Railway;2
Croxley;Moor Park;Metropolitan Line;4
Croxley;Watford;Metropolitan Line;3
Custom House;Prince Regent;Docklands Light Railway;2
Custom House;Royal Victoria;Docklands Light Railway;2
